0xD4DF5C79, serious
0x2CB5BC9A, __init__system__
0x8C87D8EB, __init__
0xE9ACD07, initcustomflags
0xC35E6AAB, init
0xFB4F96B5, on_player_connect
0xAEBCF025, on_player_spawned
0xEA9180AE, debugtesting
0x27B2496F, waypointsetup
0x35FDD97F, waypointsave
0x77F0E88C, waypointload
0x8113C635, showwaypointcontrols
0x316D86FE, detour_afee7ba4-2211-4aa7-b594-99cd34c44d26
0x790026D5, zm_weap_elemental_bow
0xCF748C1E, detour_9753d5c0-bc27-484c-a21a-f13b36e22d41
0xD1B0A244, zm_tomb_giant_robot
0xF0C77781, robot_cycling
0xC67A67, detour_7247aded-a0d8-430e-8cc4-d5090f2fe154
0x99CB5531, zm_castle_weap_quest_upgrade
0xA2CCCCC9, detour_e370e29e-940c-4eb1-ab28-f23e4bd15daf
0x1437A8B5, zm_factory
0x956ACDF9, getbgbname
0x6395EC49, initblockerarrays
0x35D97D91, openalldoors
0x63BCE0E4, openallmapobjects
0xE011C159, openbeastdoors
0x7BC7324F, openrifts
0x92F4DEDA, openzodportal
0x1B269CAE, enablepads
0x521440E9, trapapothicon
0xB6204EB, enableteleporters
0xBE98B581, triggercrypt
0xBBDF6C76, activateallpower
0x760312C7, setzbarrierstate
0x914586CC, activateblocker
0xF3470A4D, openspecificdoor
0xF75291E9, activatespecificpower
0x27488651, activatemapspecificobject
0xE1B95659, collectcraftible
0xCB1B0C34, timescale
0x333FD8F0, setspeed
0x610C52D7, thirdperson
0x9DB45504, godmode
0xA260245B, infiniteammo
0x455D37A4, giveammoonshoot
0xD01866B6, giveallperks
0x75BA50A4, takeallperks
0x8E11500F, giveperksandrevive
0xC389B506, giveperk
0x6A8046B8, takeperk
0x94DA5FCE, getperkdisplayname
0x916A429D, setplayerpoints
0xCBC1672E, givepowerup
0xF1D2B226, initweapons
0xCD7EC265, giveplayerweapon
0xECEE8D57, takeplayerweapon
0xFEBC4EDC, waitforweaponavailable
0x39A925CA, reenableweaponcycling
0xB44A485D, vehiclewatcher
0xB80EA148, givezodmargwahead
0xA920A7A1, removezodmargwahead
0x49C0F431, hideinbeast
0x9B2D27B9, detour_81fc0d74-4d0a-4878-a262-6a0aa230edc0
0x54C8DC69, zm_zod_ee_side
0x53485B20, giveclawhelmet
0x1421A1B7, removeclawhelmet
0x74DA9DB8, givestalingradwearable
0x96A4A917, removestalingradwearable
0xA3CD2D9D, givegenesiswearable
0x55AB0ACC, removegenesiswearable
0xB456C9A5, givetombwearable
0xAC7291CA, removetombwearable
0x90F0B854, detour_57c9d321-1f78-4db9-9a4d-513e19bbf424
0x99EA9186, zm_tomb_dig
0xB54A2B0, ee_zombie_blood_dig
0xD9BDED89, shootcharacterstones
0xBABBD080, pickupkeeperpart
0xA613C90C, builddragonride
0xE6009DA9, getdragonegg
0xC5DAD46B, activateeggnest
0x96ADD64C, activatetrophy
0x2FDD0A3B, pickuptrophy
0x9D063541, activatealltrophies
0xA82F39B0, pickupalltrophies
0xD174C88C, gotoround
0x7D330B53, infiniteround
0x98B16C3E, keeproundinfinite
0xDFBF8558, startspecialround
0xFD69A922, setzombiecount
0xD96D7464, roundtime
0xFAF3811F, monitorstarttimes
0xC0ED4EA6, monitorroundend
0x11ED2ABA, zombieroundtimemeasure
0x2B3611F3, calcaveragespawntime
0x65CE4815, calctime
0xD66B5E11, diagnosticspawn
0xD648AE9B, setzombiehealthoverride
0x5FEE1EE5, restorezombiehealthoverride
0x1F80FA22, gethealthforround
0x6117D766, setzombiespeedoverride
0xBA4B892D, resetzombiespeedoverride
0x291D1772, setzombiespeedonspawn
0xB40BB9A9, freezezombies
0xF1E0AF8A, unfreezezombies
0x21BD5F4A, freezezombieonspawn
0x81CCEABE, tpzombiestoplayer
0x2410FC88, settpzombiesoverride
0x53A47A03, resettpzombiesoverride
0xB282F1A, tpwhenready
0xB3C880D, detour_9c20d2bc-ab16-44a3-a780-f7321b37d77b
0x52BFB19E, zombie_utility
0x1ED7A46B, ai_calculate_health
0xAB93C374, detour_f64d08f5-49a9-4bf8-8da6-0ff86e0e6e85
0xC96301EE, margwaserverutils
0x53CE09A, margwasetheadhealth
0xAC8413C6, detour_2e6d2267-c70f-450f-98b7-e9a0f00310a2
0x1C31C03D, zm_ai_raz
0xBECE39F4, detour_afd076dd-b696-464d-8372-b5ce267c8274
0x8BC21961, zm_ai_sentinel_drone
0xAA23C0C1, detour_d18ee673-1140-48b7-bd39-c29f717f9da7
0xB1CA30AF, zm_ai_wasp
0x343220D8, wasp_health_increase
0x1D17108B, detour_62f47e7f-c8dd-4266-9de4-5b0c4ee3e929
0x2699F4AA, detour_5b7f9cdf-538b-4dd4-a247-f5e04d73d049
0x3425D4B9, zm_genesis_wasp
0x969222B7, detour_a1815d3a-aa44-4fc5-9be0-e4f588b46383
0x5ACE0F0E, zm_ai_raps
0x2A8DF909, raps_health_increase
0x2F4822AD, detour_c621ab41-4e63-4bd6-ba25-de8686b3cfcf
0xA5CEEC2F, wasp_cleanup_failsafe
0x6BAE7B5C, monitorserver
0x15395E14, parsemap
0xE7D9AB11, parsetimescale
0xD4A1D3A9, parseseed
0xAC404FBD, parsegodmode
0x5455E068, parseinfiniteammo
0x8CBC4C5F, parsesetpoints
0x382D36D7, parseperkmessage
0x11424E9B, parseweaponmessage
0x962B221C, parsebgbmessage
0x400B7A22, parsezombiehealth
0xA2F69F41, parsezombiespeed
0xBD777B31, parsezombiefreeze
0xE55C78CC, parsezombiespawns
0xBCB338DC, parsezombietp
0xC06E412D, parseroundrequest
0x36492B1E, parsezombietotal
0x77157F82, parsepowerup
0xD0F533EC, parsecraftable
0x1A98B44, parseblocker
0x28F8C67A, initautosplitpresets
0x998E97E8, runigt
0xD424FECE, runigrt
0xD2DC7200, manageingameroundtimer
0xB028D3A9, waitforround
0xF0318EE, addigtsplit
0x181F4279, monitorsplitlayoutchange
0x91B65017, split
0x67A99CB3, splitmoveup
0xBDC337D8, splitmovedown
0xDCB0A224, splitfontsizeup
0xD0980D1B, splitfontsizedown
0x84D20E4F, splithide
0x9F66B03A, rendersplits
0x1E2266EA, updatesplitfontsize
0x75257D98, exportsplits
0xF5D3755A, printsplitsresetlobby
0xAE97A038, printsplittutorial
0xE1F83D64, initsplithud
0x4646AAC1, waitpap
0x78B3C32F, watchpaptrigger
0x84D48D05, waitsong
0x56F07F27, watchlullaby
0x46FD63DE, splitdragonfilled
0x7F1AF5E1, splitbowpickup
0x8266B822, watchplayerforbow
0xCD23EA3A, splitstormstart
0x8223D332, splitstormbonfires
